Rk,name,Inducted,Yrs,From,To,ASG,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
1,Hank Aaron,1982,23,1954,1976,25,137.3,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,0.305,0.374,0.555,0.928
2,Pete Alexander,1938,20,1911,1930,0,3.1,703,1978,1810,154,378,60,13,11,163,3,5,77,276,0.209,0.242,0.275,0.517
3,Roberto Alomar,2011,17,1988,2004,12,62.9,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,0.3,0.371,0.443,0.814
4,Walter Alston,1983,1,1936,1936,0,0,1,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0
5,Sparky Anderson,2000,1,1959,1959,0,-1.5,152,527,477,42,104,9,3,0,34,6,9,42,53,0.218,0.282,0.249,0.531
6,Cap Anson,1939,27,1871,1897,0,91.1,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,0.334,0.394,0.447,0.841
7,Luis Aparicio,1984,18,1956,1973,13,51.7,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,0.262,0.311,0.343,0.653
8,Luke Appling,1964,20,1930,1950,7,69.9,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,0.31,0.399,0.398,0.798
9,Richie Ashburn,1995,15,1948,1962,6,60.2,2189,9736,8365,1322,2574,317,109,29,586,234,92,1198,571,0.308,0.396,0.382,0.778
10,Earl Averill,1975,13,1929,1941,6,45.1,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,0.318,0.395,0.534,0.928
11,Home Run Baker,1955,13,1908,1922,0,59.5,1575,6663,5984,887,1838,315,103,96,987,235,54,473,346,0.307,0.363,0.442,0.805
12,Dave Bancroft,1971,16,1915,1930,0,46.5,1913,8248,7182,1048,2004,320,77,32,591,145,75,827,487,0.279,0.355,0.358,0.714
13,Ernie Banks,1977,19,1953,1971,14,62.5,2528,10394,9421,1305,2583,407,90,512,1636,50,53,763,1236,0.274,0.33,0.5,0.83
14,Jake Beckley,1971,20,1888,1907,0,57.1,2389,10504,9538,1602,2934,473,244,87,1578,315,,616,524,0.308,0.361,0.436,0.797
15,Johnny Bench,1989,17,1967,1983,14,72.3,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,0.267,0.342,0.476,0.817
16,Chief Bender,1953,16,1903,1925,0,5.8,507,1274,1147,102,243,40,10,6,116,20,2,75,160,0.212,0.266,0.28,0.546
17,Yogi Berra,1972,19,1946,1965,18,56.1,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,0.285,0.348,0.482,0.83
18,Bert Blyleven,2011,22,1970,1992,2,-1.4,699,514,451,19,59,7,0,0,25,0,0,5,193,0.131,0.144,0.146,0.29
19,Wade Boggs,2005,18,1982,1999,12,88.3,2440,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,0.328,0.415,0.443,0.858
20,Jim Bottomley,1974,16,1922,1937,0,32.8,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,0.31,0.369,0.5,0.869
21,Lou Boudreau,1970,15,1938,1952,8,59.1,1646,7024,6029,861,1779,385,66,68,789,51,50,796,309,0.295,0.38,0.415,0.795
22,Roger Bresnahan,1945,17,1897,1915,0,39.1,1446,5374,4481,682,1252,218,71,26,530,212,4,714,405,0.279,0.386,0.377,0.764
23,George Brett,1999,21,1973,1993,13,84,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,0.305,0.369,0.487,0.857
24,Lou Brock,1985,19,1961,1979,6,42.8,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,0.293,0.343,0.41,0.753
25,Dan Brouthers,1945,19,1879,1904,0,76.9,1673,7676,6711,1523,2296,460,205,106,1296,256,,840,238,0.342,0.423,0.519,0.942
26,Mordecai Brown,1949,14,1903,1916,0,1.3,493,1237,1143,93,235,20,11,2,74,8,0,44,199,0.206,0.236,0.248,0.483
27,Willard Brown,2006,1,1947,1947,0,-0.7,21,67,67,4,12,3,0,1,6,2,2,0,7,0.179,0.179,0.269,0.448
28,Jim Bunning,1996,17,1955,1971,9,-0.9,601,1401,1275,82,213,21,4,7,75,0,2,34,362,0.167,0.188,0.206,0.395
