year,index,tournament,name,odds,won,payoff
2008,1,Mercedes-Benz Championship,Jim Furyk,11/2,false,5.5
2008,1,Mercedes-Benz Championship,Vijay Singh,11/2,false,5.5
2008,1,Mercedes-Benz Championship,Aaron Baddeley,12/1,false,12.0
2008,1,Mercedes-Benz Championship,Steve Stricker,12/1,false,12.0
2008,1,Mercedes-Benz Championship,K.J. Choi,12/1,false,12.0
2008,1,Mercedes-Benz Championship,Zach Johnson,15/1,false,15.0
2008,1,Mercedes-Benz Championship,Henrik Stenson,15/1,false,15.0
2008,1,Mercedes-Benz Championship,Rory Sabbatini,15/1,false,15.0
2008,1,Mercedes-Benz Championship,Angel Cabrera,20/1,false,20.0
2008,1,Mercedes-Benz Championship,Hunter Mahan,20/1,false,20.0
2008,1,Mercedes-Benz Championship,Brandt Snedeker,20/1,false,20.0
2008,1,Mercedes-Benz Championship,Scott Verplank,25/1,false,25.0
2008,1,Mercedes-Benz Championship,Mike Weir,25/1,false,25.0
2008,1,Mercedes-Benz Championship,Justin Leonard,25/1,false,25.0
2008,1,Mercedes-Benz Championship,Stephen Ames,20/1,false,20.0
2008,1,Mercedes-Benz Championship,Charles Howell III,30/1,false,30.0
2008,1,Mercedes-Benz Championship,Chad Campbell,30/1,false,30.0
2008,1,Mercedes-Benz Championship,Boo Weekley,30/1,false,30.0
2008,1,Mercedes-Benz Championship,Jonathan Byrd,40/1,false,40.0
2008,1,Mercedes-Benz Championship,Mark Calcavecchia,40/1,false,40.0
2008,1,Mercedes-Benz Championship,Woody Austin,30/1,false,30.0
2008,1,Mercedes-Benz Championship,Daniel Chopra,40/1,true,40.0
2008,1,Mercedes-Benz Championship,Steve Flesch,50/1,false,50.0
2008,1,Mercedes-Benz Championship,Charley Hoffman,50/1,false,50.0
2008,1,Mercedes-Benz Championship,Nick Watney,50/1,false,50.0
2008,1,Mercedes-Benz Championship,Joe Ogilvie,60/1,false,60.0
2008,1,Mercedes-Benz Championship,Fred Funk,80/1,false,80.0
2008,1,Mercedes-Benz Championship,Mark Wilson,80/1,false,80.0
2008,1,Mercedes-Benz Championship,George McNeill,100/1,false,100.0
2008,1,Mercedes-Benz Championship,Paul Goydos,100/1,false,100.0
2008,1,Mercedes-Benz Championship,Brian Bateman,125/1,false,125.0
2008,2,Sony Open in Hawaii,Jim Furyk,7/1,false,7.0
2008,2,Sony Open in Hawaii,Vijay Singh,8/1,false,8.0
2008,2,Sony Open in Hawaii,Steve Stricker,10/1,false,10.0
2008,2,Sony Open in Hawaii,Stephen Ames,15/1,false,15.0
2008,2,Sony Open in Hawaii,Aaron Baddeley,20/1,false,20.0
2008,2,Sony Open in Hawaii,K.J. Choi,20/1,true,20.0
2008,2,Sony Open in Hawaii,Rory Sabbatini,20/1,false,20.0
2008,2,Sony Open in Hawaii,Charles Howell III,25/1,false,25.0
2008,2,Sony Open in Hawaii,Angel Cabrera,25/1,false,25.0
2008,2,Sony Open in Hawaii,Zach Johnson,20/1,false,20.0
2008,2,Sony Open in Hawaii,Brandt Snedeker,25/1,false,25.0
2008,2,Sony Open in Hawaii,Daniel Chopra,30/1,false,30.0
2008,2,Sony Open in Hawaii,Robert Allenby,30/1,false,30.0
2008,2,Sony Open in Hawaii,Sean O'Hair,30/1,false,30.0
2008,2,Sony Open in Hawaii,Chad Campbell,30/1,false,30.0
2008,2,Sony Open in Hawaii,Jonathan Byrd,40/1,false,40.0
2008,2,Sony Open in Hawaii,Mark Calcavecchia,40/1,false,40.0
2008,2,Sony Open in Hawaii,Carl Pettersson,40/1,false,40.0
2008,2,Sony Open in Hawaii,Jerry Kelly,40/1,false,40.0
2008,2,Sony Open in Hawaii,Nathan Green,40/1,false,40.0
2008,2,Sony Open in Hawaii,Bo Van Pelt,50/1,false,50.0
2008,2,Sony Open in Hawaii,Boo Weekley,50/1,false,50.0
2008,2,Sony Open in Hawaii,Heath Slocum,50/1,false,50.0
2008,2,Sony Open in Hawaii,Peter Lonard,50/1,false,50.0
2008,2,Sony Open in Hawaii,Steve Flesch,50/1,false,50.0
2008,2,Sony Open in Hawaii,Kenny Perry,60/1,false,60.0
2008,2,Sony Open in Hawaii,Pat Perez,60/1,false,60.0
2008,2,Sony Open in Hawaii,John Senden,60/1,false,60.0
2008,2,Sony Open in Hawaii,Bart Bryant,60/1,false,60.0
2008,2,Sony Open in Hawaii,Bubba Watson,60/1,false,60.0
2008,2,Sony Open in Hawaii,Jason Gore,60/1,false,60.0
2008,2,Sony Open in Hawaii,Jason Day,60/1,false,60.0
2008,2,Sony Open in Hawaii,Jesper Parnevik,80/1,false,80.0
2008,2,Sony Open in Hawaii,Shigeki Maruyama,80/1,false,80.0
2008,2,Sony Open in Hawaii,J.B. Holmes,80/1,false,80.0
2008,2,Sony Open in Hawaii,Cameron Beckman,80/1,false,80.0
2008,2,Sony Open in Hawaii,Frank Lickliter,80/1,false,80.0
2008,2,Sony Open in Hawaii,Brett Wetterich,80/1,false,80.0
2008,2,Sony Open in Hawaii,Vaughn Taylor,60/1,false,60.0
2008,2,Sony Open in Hawaii,Billy Mayfair,80/1,false,80.0
2008,2,Sony Open in Hawaii,Troy Matteson,80/1,false,80.0
2008,2,Sony Open in Hawaii,Nick Flanagan,100/1,false,100.0
2008,2,Sony Open in Hawaii,Tom Lehman,100/1,false,100.0
2008,2,Sony Open in Hawaii,Dean Wilson,100/1,false,100.0
2008,2,Sony Open in Hawaii,Briny Baird,100/1,false,100.0
2008,2,Sony Open in Hawaii,Jeff Overton,100/1,false,100.0
2008,2,Sony Open in Hawaii,John Daly,125/1,false,125.0
2008,2,Sony Open in Hawaii,Paul Goydos,125/1,false,125.0
2008,2,Sony Open in Hawaii,Tadd Fujikawa,500/1,false,500.0
2008,2,Sony Open in Hawaii,Field (all others),13/2,false,6.5
2008,3,Bob Hope Chrysler Classic,Mike Weir,12/1,false,12.0
2008,3,Bob Hope Chrysler Classic,Justin Leonard,15/1,false,15.0
2008,3,Bob Hope Chrysler Classic,Chad Campbell,15/1,false,15.0
2008,3,Bob Hope Chrysler Classic,Scott Verplank,20/1,false,20.0
2008,3,Bob Hope Chrysler Classic,Lucas Glover,20/1,false,20.0
2008,3,Bob Hope Chrysler Classic,Stewart Cink,25/1,false,25.0
2008,3,Bob Hope Chrysler Classic,Heath Slocum,25/1,false,25.0
2008,3,Bob Hope Chrysler Classic,Daniel Chopra,30/1,false,30.0
2008,3,Bob Hope Chrysler Classic,Rod Pampling,30/1,false,30.0
2008,3,Bob Hope Chrysler Classic,Pat Perez,WD,false,-1.0
2008,3,Bob Hope Chrysler Classic,Robert Allenby,30/1,false,30.0
2008,3,Bob Hope Chrysler Classic,Chris DiMarco,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Carl Pettersson,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Anthony Kim,30/1,false,30.0
2008,3,Bob Hope Chrysler Classic,Mark Calcavecchia,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Charley Hoffman,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,John Rollins,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Troy Matteson,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Woody Austin,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Nathan Green,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,John Senden,50/1,false,50.0
2008,3,Bob Hope Chrysler Classic,Boo Weekley,50/1,false,50.0
2008,3,Bob Hope Chrysler Classic,Ben Crane,50/1,false,50.0
2008,3,Bob Hope Chrysler Classic,Ryan Moore,40/1,false,40.0
2008,3,Bob Hope Chrysler Classic,Jesper Parnevik,50/1,false,50.0
2008,3,Bob Hope Chrysler Classic,Steve Marino,50/1,false,50.0
2008,3,Bob Hope Chrysler Classic,Kevin Na,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Shigeki Maruyama,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Tim Herron,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Joe Durant,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Kenny Perry,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Charles Warren,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,J.J. Henry,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Ken Duke,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Steve Flesch,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Vaughn Taylor,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Bubba Watson,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Alex Cejka,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Bart Bryant,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Brett Wetterich,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Fred Couples,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Billy Mayfair,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Joe Ogilvie,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,George McNeill,60/1,false,60.0
2008,3,Bob Hope Chrysler Classic,Jeff Quinney,80/1,false,80.0
2008,3,Bob Hope Chrysler Classic,Ryuji Imada,100/1,false,100.0
2008,3,Bob Hope Chrysler Classic,Jason Gore,100/1,false,100.0
2008,3,Bob Hope Chrysler Classic,John Daly,150/1,false,150.0
2008,3,Bob Hope Chrysler Classic,David Duval,150/1,false,150.0
2008,3,Bob Hope Chrysler Classic,Field (D.J. Trahan),3/1,true,3.0
2008,4,Buick Invitational,Tiger Woods,EVEN,true,1.0
2008,4,Buick Invitational,Phil Mickelson,12/1,false,12.0
2008,4,Buick Invitational,Jim Furyk,20/1,false,20.0
2008,4,Buick Invitational,Vijay Singh,25/1,false,25.0
2008,4,Buick Invitational,K.J. Choi,20/1,false,20.0
2008,4,Buick Invitational,Rory Sabbatini,25/1,false,25.0
2008,4,Buick Invitational,Stephen Ames,30/1,false,30.0
2008,4,Buick Invitational,Justin Leonard,40/1,false,40.0
2008,4,Buick Invitational,Mike Weir,40/1,false,40.0
2008,4,Buick Invitational,Aaron Baddeley,40/1,false,40.0
2008,4,Buick Invitational,Brandt Snedeker,50/1,false,50.0
2008,4,Buick Invitational,Hunter Mahan,50/1,false,50.0
2008,4,Buick Invitational,Geoff Ogilvy,40/1,false,40.0
2008,4,Buick Invitational,Charles Howell III,50/1,false,50.0
2008,4,Buick Invitational,Stewart Cink,50/1,false,50.0
2008,4,Buick Invitational,Tim Clark,50/1,false,50.0
2008,4,Buick Invitational,Anthony Kim,50/1,false,50.0
2008,4,Buick Invitational,Ryan Moore,50/1,false,50.0
2008,4,Buick Invitational,Robert Allenby,60/1,false,60.0
2008,4,Buick Invitational,Kenny Perry,60/1,false,60.0
2008,4,Buick Invitational,Nick Watney,60/1,false,60.0
2008,4,Buick Invitational,Pat Perez,60/1,false,60.0
2008,4,Buick Invitational,Rod Pampling,80/1,false,80.0
2008,4,Buick Invitational,Ben Crane,80/1,false,80.0
2008,4,Buick Invitational,Jerry Kelly,80/1,false,80.0
2008,4,Buick Invitational,Boo Weekley,80/1,false,80.0
2008,4,Buick Invitational,Stuart Appleby,80/1,false,80.0
2008,4,Buick Invitational,Lucas Glover,80/1,false,80.0
2008,4,Buick Invitational,Jesper Parnevik,80/1,false,80.0
2008,4,Buick Invitational,Camilo Villegas,80/1,false,80.0
2008,4,Buick Invitational,Charley Hoffman,80/1,false,80.0
2008,4,Buick Invitational,Bubba Watson,60/1,false,60.0
2008,4,Buick Invitational,Vaughn Taylor,80/1,false,80.0
2008,4,Buick Invitational,Chris DiMarco,100/1,false,100.0
2008,4,Buick Invitational,Fredrik Jacobson,100/1,false,100.0
2008,4,Buick Invitational,D.J. Trahan,100/1,false,100.0
2008,4,Buick Invitational,Woody Austin,100/1,false,100.0
2008,4,Buick Invitational,Mark Calcavecchia,100/1,false,100.0
2008,4,Buick Invitational,Sean O'Hair,100/1,false,100.0
2008,4,Buick Invitational,Nick O'Hern,100/1,false,100.0
2008,4,Buick Invitational,Carl Pettersson,100/1,false,100.0
2008,4,Buick Invitational,John Senden,100/1,false,100.0
2008,4,Buick Invitational,Kevin Sutherland,100/1,false,100.0
2008,4,Buick Invitational,J.B. Holmes,100/1,false,100.0
2008,4,Buick Invitational,Steve Elkington,100/1,false,100.0
2008,4,Buick Invitational,Jason Day,150/1,false,150.0
2008,4,Buick Invitational,Fred Couples,200/1,false,200.0
2008,4,Buick Invitational,Ben Curtis,200/1,false,200.0
2008,4,Buick Invitational,John Daly,250/1,false,250.0
2008,4,Buick Invitational,Field (all others),8/1,false,8.0
2008,5,FBR Open,Phil Mickelson,7/1,false,7.0
2008,5,FBR Open,Steve Stricker,15/1,false,15.0
2008,5,FBR Open,Rory Sabbatini,15/1,false,15.0
2008,5,FBR Open,Vijay Singh,20/1,false,20.0
2008,5,FBR Open,K.J. Choi,20/1,false,20.0
2008,5,FBR Open,Aaron Baddeley,20/1,false,20.0
2008,5,FBR Open,Justin Leonard,20/1,false,20.0
2008,5,FBR Open,Stewart Cink,25/1,false,25.0
2008,5,FBR Open,Hunter Mahan,30/1,false,30.0
2008,5,FBR Open,Charles Howell III,30/1,false,30.0
2008,5,FBR Open,Mike Weir,30/1,false,30.0
2008,5,FBR Open,Stuart Appleby,30/1,false,30.0
2008,5,FBR Open,David Toms,40/1,false,40.0
2008,5,FBR Open,Geoff Ogilvy,40/1,false,40.0
2008,5,FBR Open,Trevor Immelman,40/1,false,40.0
2008,5,FBR Open,Camilo Villegas,40/1,false,40.0
2008,5,FBR Open,Arron Oberholser,DNS,false,-1.0
2008,5,FBR Open,Boo Weekley,50/1,false,50.0
2008,5,FBR Open,Brandt Snedeker,50/1,false,50.0
2008,5,FBR Open,Robert Allenby,50/1,false,50.0
2008,5,FBR Open,Chad Campbell,50/1,false,50.0
2008,5,FBR Open,Anthony Kim,50/1,false,50.0
2008,5,FBR Open,Heath Slocum,50/1,false,50.0
2008,5,FBR Open,Kenny Perry,50/1,false,50.0
2008,5,FBR Open,Ryuji Imada,50/1,false,50.0
2008,5,FBR Open,Troy Matteson,60/1,false,60.0
2008,5,FBR Open,Daniel Chopra,60/1,false,60.0
2008,5,FBR Open,Joe Durant,60/1,false,60.0
2008,5,FBR Open,John Senden,60/1,false,60.0
2008,5,FBR Open,Nathan Green,60/1,false,60.0
2008,5,FBR Open,Lucas Glover,60/1,false,60.0
2008,5,FBR Open,Ryan Moore,60/1,false,60.0
2008,5,FBR Open,Bubba Watson,50/1,false,50.0
2008,5,FBR Open,J.B. Holmes,60/1,true,60.0
2008,5,FBR Open,John Rollins,60/1,false,60.0
2008,5,FBR Open,Jonathan Byrd,60/1,false,60.0
2008,5,FBR Open,Jeff Quinney,60/1,false,60.0
2008,5,FBR Open,Carl Pettersson,60/1,false,60.0
2008,5,FBR Open,Nick Watney,60/1,false,60.0
2008,5,FBR Open,Rod Pampling,60/1,false,60.0
2008,5,FBR Open,Chris DiMarco,80/1,false,80.0
2008,5,FBR Open,Mark Calcavecchia,80/1,false,80.0
2008,5,FBR Open,Ben Crane,80/1,false,80.0
2008,5,FBR Open,Jerry Kelly,80/1,false,80.0
2008,5,FBR Open,Steve Elkington,80/1,false,80.0
2008,5,FBR Open,Steve Flesch,80/1,false,80.0
2008,5,FBR Open,Charley Hoffman,80/1,false,80.0
2008,5,FBR Open,Andres Romero,80/1,false,80.0
2008,5,FBR Open,Fred Couples,80/1,false,80.0
2008,5,FBR Open,Field (all others),4/1,false,4.0
2008,6,AT&T Pebble Beach,Phil Mickelson,4/1,false,4.0
2008,6,AT&T Pebble Beach,Jim Furyk,12/1,false,12.0
2008,6,AT&T Pebble Beach,Mike Weir,15/1,false,15.0
2008,6,AT&T Pebble Beach,Padraig Harrington,20/1,false,20.0
2008,6,AT&T Pebble Beach,Vijay Singh,20/1,false,20.0
2008,6,AT&T Pebble Beach,Justin Leonard,20/1,false,20.0
2008,6,AT&T Pebble Beach,Daniel Chopra,25/1,false,25.0
2008,6,AT&T Pebble Beach,Hunter Mahan,30/1,false,30.0
2008,6,AT&T Pebble Beach,Brandt Snedeker,30/1,false,30.0
