"","playerID","yearID.x","stint.x","teamID.x","lgID.x","G.x","G_batting.x","AB.x","R.x","H.x","X2B.x","X3B.x","HR.x","RBI.x","SB.x","CS.x","BB.x","SO.x","IBB.x","HBP.x","SH.x","SF.x","GIDP.x","G_old.x","X1B.x","SLG.x","OBP.x","OPS.x","yearID.y","stint.y","teamID.y","lgID.y","G.y","G_batting.y","AB.y","R.y","H.y","X2B.y","X3B.y","HR.y","RBI.y","SB.y","CS.y","BB.y","SO.y","IBB.y","HBP.y","SH.y","SF.y","GIDP.y","G_old.y","X1B.y","SLG.y","OBP.y","OPS.y","Improvement"
"6","adamsmi03",2012,1,"TEX","AL",61,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"32","aumonph01",2012,1,"PHI","NL",18,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"55","bastaan01",2012,1,"PHI","NL",65,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"74","bernaro01",2012,1,"WAS","NL",129,NA,227,25,66,11,0,5,25,15,3,28,53,3,2,3,1,2,NA,50,0.405286343612335,0.372093023255814,0.777379366868149,2013,2,"PHI","NL",27,27,75,8,14,4,1,2,5,1,0,4,21,0,3,1,0,0,NA,7,0.346666666666667,0.25609756097561,0.602764227642276,-0.174615139225872
"117","browndo01",2012,1,"PHI","NL",56,NA,187,21,44,11,2,5,26,0,0,21,34,2,2,0,2,6,NA,26,0.39572192513369,0.316037735849057,0.711759660982746,2013,1,"PHI","NL",139,139,496,65,135,21,4,27,83,8,3,39,97,5,1,0,4,5,NA,83,0.493951612903226,0.324074074074074,0.8180256869773,0.106266025994553
"158","carreez01",2012,1,"CLE","AL",48,NA,147,20,40,6,3,2,11,8,1,8,35,1,1,1,1,3,NA,29,0.394557823129252,0.312101910828025,0.706659733957277,2013,1,"PHI","NL",13,13,13,2,1,0,0,0,0,0,0,1,4,0,2,0,0,0,NA,1,0.0769230769230769,0.25,0.326923076923077,-0.3797366570342
"201","cloydty01",2012,1,"PHI","NL",6,NA,11,2,1,0,0,0,0,0,0,3,3,0,0,0,0,1,NA,1,0.0909090909090909,0.285714285714286,0.376623376623377,2013,1,"PHI","NL",13,13,18,1,2,1,0,0,1,0,0,2,4,0,0,2,0,0,NA,1,0.166666666666667,0.2,0.366666666666667,-0.00995670995670994
"245","defraju01",2012,1,"PHI","NL",13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"267","diekmja01",2012,1,"PHI","NL",32,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"289","durbich01",2012,1,"ATL","NL",76,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,2013,1,"PHI","NL",16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
