player	team	position	salary
Brandon Webb	Arizona Diamondbacks	Pitcher	8500
Danny Haren	Arizona Diamondbacks	Pitcher	8250
Chris Snyder	Arizona Diamondbacks	Catcher	5250
Edwin Jackson	Arizona Diamondbacks	Pitcher	4600
Adam LaRoche	Arizona Diamondbacks	First Baseman	4500
Chad Qualls	Arizona Diamondbacks	Pitcher	4185
Chris B. Young	Arizona Diamondbacks	Outfielder	3450
Stephen Drew	Arizona Diamondbacks	Shortstop	3400
Conor Jackson	Arizona Diamondbacks	First Baseman	3100
Kelly Johnson	Arizona Diamondbacks	Second Baseman	2350
Aaron Heilman	Arizona Diamondbacks	Pitcher	2150
Bobby Howry	Arizona Diamondbacks	Pitcher	2000
Miguel Montero	Arizona Diamondbacks	Catcher	2000
Mark Reynolds	Arizona Diamondbacks	Third Baseman	833.333
Augie Ojeda	Arizona Diamondbacks	Shortstop	825
Blaine Boyer	Arizona Diamondbacks	Pitcher	725
Justin Upton	Arizona Diamondbacks	Outfielder	708.333
Rodrigo Lopez	Arizona Diamondbacks	Pitcher	650
Juan C. Gutierrez	Arizona Diamondbacks	Pitcher	411
Leonel Rosales	Arizona Diamondbacks	Pitcher	409.5
Tony Abreu	Arizona Diamondbacks	Shortstop	407
Gerardo Parra	Arizona Diamondbacks	Outfielder	405.5
Esmerling Vasquez	Arizona Diamondbacks	Pitcher	404.5
Ian Kennedy	Arizona Diamondbacks	Pitcher	403
Rusty Ryal	Arizona Diamondbacks	Third Baseman	401
Jordan Norberto	Arizona Diamondbacks	Pitcher	400
Derek Lowe	Atlanta Braves	Pitcher	15000
Chipper Jones	Atlanta Braves	Third Baseman	14000
Tim Hudson	Atlanta Braves	Pitcher	9000
Kenshin Kawakami	Atlanta Braves	Pitcher	7333.666
Billy Wagner	Atlanta Braves	Pitcher	6750
Brian McCann	Atlanta Braves	Catcher	5700
Nate McLouth	Atlanta Braves	Outfielder	5000
Takashi Saito	Atlanta Braves	Pitcher	3200
Melky Cabrera	Atlanta Braves	Outfielder	3100
Matt Diaz	Atlanta Braves	Outfielder	2550
Omar Infante	Atlanta Braves	Shortstop	2225
Troy Glaus	Atlanta Braves	First Baseman	1750
David Ross	Atlanta Braves	Catcher	1600
Peter Moylan	Atlanta Braves	Pitcher	1150
Eric Hinske	Atlanta Braves	First Baseman	1000
Jair Jurrjens	Atlanta Braves	Pitcher	480
Eric O'Flaherty	Atlanta Braves	Pitcher	440
Martin Prado	Atlanta Braves	Second Baseman	440
Yunel Escobar	Atlanta Braves	Shortstop	435
Tommy Hanson	Atlanta Braves	Pitcher	435
Jesse Chavez	Atlanta Braves	Pitcher	415
Jo-Jo Reyes	Atlanta Braves	Pitcher	410
Kris Medlen	Atlanta Braves	Pitcher	407.5
Jordan Schafer	Atlanta Braves	Outfielder	402.5
Brooks Conrad	Atlanta Braves	Second Baseman	400
Diory Hernandez	Atlanta Braves	Shortstop	400
Jason Heyward	Atlanta Braves	Outfielder	400
Kevin Millwood	Baltimore Orioles	Pitcher	12000
Brian Roberts	Baltimore Orioles	Second Baseman	10000
Julio Lugo	Baltimore Orioles	Shortstop	9250
Nick Markakis	Baltimore Orioles	Outfielder	7100
Mike Gonzalez	Baltimore Orioles	Pitcher	6000
Miguel Tejada	Baltimore Orioles	Third Baseman	6000
Koji Uehara	Baltimore Orioles	Pitcher	5000
Luke Scott	Baltimore Orioles	Outfielder	4050
Garrett Atkins	Baltimore Orioles	First Baseman	4000
Ty Wigginton	Baltimore Orioles	Third Baseman	3500
Jeremy Guthrie	Baltimore Orioles	Pitcher	3000
Cesar Izturis	Baltimore Orioles	Shortstop	2600
Will Ohman	Baltimore Orioles	Pitcher	1350
Brian Matusz	Baltimore Orioles	Pitcher	1300
Mark Hendrickson	Baltimore Orioles	Pitcher	1200
Cla Meredith	Baltimore Orioles	Pitcher	850
Matt Albers	Baltimore Orioles	Pitcher	680
Adam Jones	Baltimore Orioles	Outfielder	465
Jim Johnson	Baltimore Orioles	Pitcher	440
Felix Pie	Baltimore Orioles	Outfielder	420
Brad Bergesen	Baltimore Orioles	Pitcher	405
David J. Hernandez	Baltimore Orioles	Pitcher	402.5
Jason Berken	Baltimore Orioles	Pitcher	400
Nolan Reimold	Baltimore Orioles	Outfielder	400
Craig Tatum	Baltimore Orioles	Catcher	400
Matt Wieters	Baltimore Orioles	Catcher	400
John Lackey	Boston Red Sox	Pitcher	18700
J.D. Drew	Boston Red Sox	Outfielder	14000
David Ortiz	Boston Red Sox	Designated Hitter	13000
Mike Lowell	Boston Red Sox	Third Baseman	12500
Josh Beckett	Boston Red Sox	Pitcher	12100
Kevin Youkilis	Boston Red Sox	First Baseman	9375
Jonathan Papelbon	Boston Red Sox	Pitcher	9350
Adrian Beltre	Boston Red Sox	Third Baseman	9000
Bill Hall	Boston Red Sox	Third Baseman	8525
Daisuke Matsuzaka	Boston Red Sox	Pitcher	8333.333
Mike Cameron	Boston Red Sox	Outfielder	7750
Victor Martinez	Boston Red Sox	Catcher	7700
Marco Scutaro	Boston Red Sox	Shortstop	5500
Jonathan Lester	Boston Red Sox	Pitcher	3750
Dustin Pedroia	Boston Red Sox	Second Baseman	3750
Tim Wakefield	Boston Red Sox	Pitcher	3500
Jeremy Hermida	Boston Red Sox	Outfielder	3345
Jason Varitek	Boston Red Sox	Catcher	3000
