opid	operator	atype	remarks	phase_of_flt	ac_mass	num_engs	date	time_of_day	state	height	speed	effect	sky	species	birds_seen	birds_struck
AAL	AMERICAN AIRLINES	MD-80	NO DAMAGE	Descent	4	2	9/30/1990 0:00:00	Night	IL	7000	250	NA	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
USA	US AIRWAYS	FK-28-4000	2 BIRDS, NO DAMAGE.	Climb	4	2	11/29/1993 0:00:00	Day	MD	10	140	None	No Cloud	UNKNOWN BIRD - MEDIUM	2-10	2-10
AAL	AMERICAN AIRLINES	B-727-200	NA	Approach	4	3	8/13/1993 0:00:00	Day	TN	400	140	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
AAL	AMERICAN AIRLINES	MD-82	NA	Climb	4	2	10/7/1993 0:00:00	Day	VA	100	200	None	Overcast	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	MD-82	NO DAMAGE	Climb	4	2	9/25/1993 0:00:00	Day	SC	50	170	None	Some Cloud	UNKNOWN BIRD - SMALL	2-10	1
GFT	GULFSTREAM INTL AIRLINES	BE-99	FLT 714.  TIME = 1951Z	Landing Roll	2	2	9/20/1993 0:00:00	Day	FL	0	40	None	Some Cloud	HAWKS	NA	1
NWA	NORTHWEST AIRLINES	DC-9	15 MI NE OF OMAHA.  NO DAMAGE	En Route	4	2	8/30/1993 0:00:00	Night	NE	4000	230	None	Some Cloud	UNKNOWN BIRD	NA	1
PHM	PETROLEUM HELICOPTERS	AEROS 350	HIT A FLOCK, ASSUME 2-10.	Climb	2	1	2/14/1991 0:00:00	Day	NA	100	50	NA	No Cloud	GULLS	2-10	2-10
AAL	AMERICAN AIRLINES	B-727-200	NA	Approach	4	3	5/28/1992 0:00:00	Day	UT	200	130	None	No Cloud	UNKNOWN BIRD - MEDIUM	NA	1
MTR	METROFLIGHT	BA-31 JETSTR	NO DAMAGE REPTD. TIME = 0042Z	Approach	2	2	2/29/1992 0:00:00	Dusk	TX	3000	NA	None	NA	UNKNOWN BIRD	NA	1
AAL	AMERICAN AIRLINES	MD-80	NO DAMAGE	Approach	4	2	5/25/1992 0:00:00	Day	TN	200	150	None	Overcast	EUROPEAN STARLING	2-10	1
MTR	METROFLIGHT	BA-31 JETSTR	FLT 759 HIT BIRD OVER THRESHOLD OF RWY. FLT LANDED W/O INCIDENT.  NO REPTD DAMAGE. TIME = 1935Z.	Approach	2	2	8/19/1992 0:00:00	Day	AR	300	NA	None	NA	BLACKBIRDS	NA	1
AAL	AMERICAN AIRLINES	A-300	NA	Climb	4	2	7/30/1993 0:00:00	Day	FL	300	NA	NA	Overcast	UNKNOWN BIRD	NA	1
AAL	AMERICAN AIRLINES	MD-82	NA	Take-off run	4	2	8/2/1993 0:00:00	Day	FL	0	125	None	Some Cloud	UNKNOWN BIRD - SMALL	NA	1
AAL	AMERICAN AIRLINES	B-727	FOUND BLOOD & FEATHERS ON POST FLT INSPN 5' FROM L WING ROOT ON  LE. NO DAMAGE.	NA	4	3	5/10/1992 0:00:00	Night	GA	NA	NA	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
USA	US AIRWAYS	B-737-200	NO DAMAGE	Climb	4	2	5/11/1992 0:00:00	Night	NY	800	160	None	No Cloud	UNKNOWN BIRD - SMALL	NA	1
VGA	AIR VEGAS	C-402	BIRD STRUCK BASE OF WINDSHIELD ON PILOT SIDE.  WINDSHLD BROKE  & BIRD HIT TOP OF INSTRUMENT PANEL.  ALTITUDE INDICATOR,  ALTIMETER, VSI AND RADIOS WERE DAMAGED.  NO INJURIES.	En Route	2	2	6/13/1990 0:00:00	Day	NA	4500	155	Precautionary Landing	No Cloud	HAWKS	NA	1
