name	state	pop2000	pop2010	fed_spend	poverty	homeownership	multiunit	income	med_income
Autauga County	Alabama	43671	54571	6.06809477561342	10.6	77.5	7.2	24568	53255
Baldwin County	Alabama	140415	182265	6.13986228842619	12.2	76.7	22.6	26469	50147
Barbour County	Alabama	29038	27457	8.75215791965619	25	68	11.1	15875	33219
Bibb County	Alabama	20826	22915	7.12201614662885	12.6	82.9	6.6	19918	41770
Blount County	Alabama	51024	57322	5.13090959840899	13.4	82	3.7	21070	45549
Bullock County	Alabama	11714	10914	9.97306212204508	25.3	76.9	9.9	20289	31602
Butler County	Alabama	21399	20947	9.31183463025732	25	69	13.7	16916	30659
Calhoun County	Alabama	112249	118572	15.4392183652127	19.5	70.7	14.3	20574	38407
Chambers County	Alabama	36583	34215	8.61370743825807	20.3	71.4	8.7	16626	31467
Cherokee County	Alabama	23988	25989	7.10462118588634	17.6	77.5	4.3	21322	40690
Chilton County	Alabama	39593	43643	6.32406113236945	18.4	75.1	4.4	20517	39486
Choctaw County	Alabama	15922	13859	10.6403780936576	18.7	85.6	3.9	17214	31076
Clarke County	Alabama	27867	25833	9.7814423411915	29.2	80	6.3	17372	27439
Clay County	Alabama	14254	13932	8.982701693942	18.8	72.8	11.2	18332	35595
Cleburne County	Alabama	14123	14972	6.8400347314988	17.1	74.9	5.3	17490	36077
Coffee County	Alabama	43615	49948	20.3306839112677	17.2	69.7	13.6	22797	42253
Colbert County	Alabama	54984	54428	9.68769750863526	15.7	73.5	12.3	21079	39610
Conecuh County	Alabama	14089	13228	11.0807378288479	30.6	81.6	6	15755	26944
Coosa County	Alabama	12202	11539	7.83976081116215	16	83.7	1.9	19209	35560
Covington County	Alabama	37631	37765	9.46185621607308	19	74	6.1	19822	33852
Crenshaw County	Alabama	13665	13906	9.65029483676111	17.7	67.8	9.2	19793	35140
Cullman County	Alabama	77483	80406	7.76062731636943	16.7	74.7	8.5	20284	38567
Dale County	Alabama	49129	50251	25.7747905514318	14.8	61.2	13.2	21722	43353
Dallas County	Alabama	46365	43820	13.9481058877225	31.8	62.6	16	16646	26029
DeKalb County	Alabama	64452	71109	6.28736165604916	20	77.5	6.4	18152	35065
Elmore County	Alabama	65874	79303	6.3971602587544	12.4	77.6	7	22640	53128
Escambia County	Alabama	38440	38319	7.805161930113	24.4	73.5	7.8	16259	31927
Etowah County	Alabama	103459	104430	9.25532892846883	16.8	73	11.9	20439	36422
Fayette County	Alabama	18495	17241	8.14558320283046	17.9	76	7.9	17711	34560
Franklin County	Alabama	31223	31704	9.62417991420641	19.5	69.2	10.4	18094	33942
Geneva County	Alabama	25764	26790	9.34367301231803	16.3	71.6	6.6	18351	34140
Greene County	Alabama	9974	9045	12.9477059148701	30.8	71.1	11.1	14738	22222
Hale County	Alabama	17185	15760	11.2322969543147	24.6	74.3	6.1	16523	29299
Henry County	Alabama	16310	17302	8.78846376141487	15.1	81.9	3.2	19716	38379
Houston County	Alabama	88787	101547	7.38499414064423	16.8	67.4	15.2	22725	41022
Jackson County	Alabama	53926	53227	12.4834388562196	17.5	76.6	5.8	18905	36312
Jefferson County	Alabama	662047	658466	10.6254658554884	15.5	66.8	24	26529	45244
Lamar County	Alabama	15904	14564	9.96539412249382	18.5	75.1	9	19789	33887
Lauderdale County	Alabama	87966	92709	8.10612777615981	17.7	73	14.7	22341	39345
Lawrence County	Alabama	34803	34339	6.65296019103643	13.6	78.7	5.1	19370	40516
Lee County	Alabama	115092	140247	5.50587891363095	19.2	64.2	23.3	22794	40894
Limestone County	Alabama	65676	82782	6.22614819646783	13.5	77.1	9.4	24007	46682
Lowndes County	Alabama	13473	11299	10.1283299407027	27.3	75.4	7	16524	29714
Macon County	Alabama	24105	21452	14.87777363416	27.4	68	15.5	16380	27544
Madison County	Alabama	276700	334811	29.8025184357742	12	70.4	21.4	29918	55851
Marengo County	Alabama	22539	21027	10.1013458886194	22.7	73.5	8.3	18323	32940
Marion County	Alabama	31214	30776	8.66600597868469	17.8	75.8	10.9	19030	32769
Marshall County	Alabama	82231	93019	7.67914082069255	19.9	72.5	9.3	19875	37661
Mobile County	Alabama	399843	412992	10.605181214164	19.2	68.4	17.7	21548	40996
Monroe County	Alabama	24324	23068	8.68302410265303	25.4	73.8	6	17652	30235
Montgomery County	Alabama	223510	229363	22.1733540283306	18.9	63.2	22.4	24622	43725
Morgan County	Alabama	111064	119490	6.85996317683488	15	73.1	13.7	23090	44349
Perry County	Alabama	11861	10591	12.354735152488	28.8	67.8	11.4	13433	25950
Pickens County	Alabama	20949	19746	10.8862048009723	26.9	74.1	10.1	16278	28280
Pike County	Alabama	29605	32899	9.2235630262318	28.6	56.3	18.7	19013	29181
Randolph County	Alabama	22380	22913	8.21289224457731	21.5	75.9	4.8	19844	34593
Russell County	Alabama	49756	52947	8.48303020001133	23.3	62.3	17.8	17415	32481
St. Clair County	Alabama	64742	83593	5.73869821635783	10.6	82.2	5.5	22192	48837
Shelby County	Alabama	143293	195085	5.33789373862675	7.4	80.6	11.4	33978	68380
Sumter County	Alabama	14798	13763	13.6210855191455	34.8	68.3	14.5	14460	25338
Talladega County	Alabama	80321	82291	8.69602994252105	18.4	73	9.6	18713	36948
Tallapoosa County	Alabama	41475	41616	8.64357458669742	17.5	73.3	8.9	22542	36904
Tuscaloosa County	Alabama	164875	194656	7.77768473614993	19.7	63.3	25.4	22546	42311
Walker County	Alabama	70713	67023	10.1737164853856	18.6	77.7	6.6	20516	37191
Washington County	Alabama	18097	17581	7.82998691769524	19.7	83	2.6	18824	36431
Wilcox County	Alabama	13183	11670	13.6394173093402	38.5	76.8	6	12573	23491
Winston County	Alabama	24843	24484	8.74387355007352	20.6	73.8	6.1	18055	33685
Aleutians East Borough	Alaska	2697	3141	4.45049347341611	10.4	59.2	11.8	22279	54375
Aleutians West Census Area	Alaska	5465	5561	10.2994065815501	12.6	36.3	30.9	29920	72917
Anchorage Municipality	Alaska	260283	291826	14.934053168669	7.9	61.7	35.3	34678	73004
Bethel Census Area	Alaska	16006	17013	20.035913713043	18.6	61.3	13.9	18584	52214
Bristol Bay Borough	Alaska	1258	997	59.542627883651	5	56.6	13.4	31260	84000
Denali Borough	Alaska	1893	1826	42.8702081051479	4.6	60.7	14.1	42245	72500
Dillingham Census Area	Alaska	4922	4847	11.4041675263049	18.1	60.7	14.1	22597	60800
Fairbanks North Star Borough	Alaska	82840	97581	16.8503602135662	7.6	59.8	26.2	30395	66598
Haines Borough	Alaska	2392	2508	11.3592503987241	7.2	74.5	13.2	27979	47981
Hoonah-Angoon Census Area	Alaska	3436	2150	24.1562790697674	15.9	64	8.6	24932	43750
Juneau City and Borough	Alaska	30711	31275	37.5901838529177	6.5	64	32.2	34923	75517
Kenai Peninsula Borough	Alaska	49691	55400	6.50536101083032	9.5	72.7	12	29127	57454
Ketchikan Gateway Borough	Alaska	14070	13477	60.052014543296	8.3	59.1	36.7	29520	61695
Kodiak Island Borough	Alaska	13913	13592	12.702839905827	10.9	59.2	25.9	26413	60776
Lake and Peninsula Borough	Alaska	1823	1631	10.5450643776824	21.4	75	2.5	15161	40909
Matanuska-Susitna Borough	Alaska	59322	88995	4.88669026349795	9.9	79.2	10.1	27910	67703
Nome Census Area	Alaska	9196	9492	25.9424778761062	24.6	56.2	17.4	20549	53899
North Slope Borough	Alaska	7385	9430	8.37476139978791	11.8	48.3	24.9	22109	68517
Northwest Arctic Borough	Alaska	7208	7523	12.9171872923036	19.7	53.7	19.4	21278	55217
Petersburg Census Area	Alaska	6684	3815	15.2712975098296	9.7	76.7	9.5	30971	62317
Prince of Wales-Hyder Census Area	Alaska	6146	5559	10.2489656413024	14	69	9.7	24193	45728
Sitka City and Borough	Alaska	8835	8881	11.1947978831213	7	55.9	24.4	29982	62024
Skagway Municipality	Alaska	NA	968	0	10.8	59.1	27.2	35536	73500
Southeast Fairbanks Census Area	Alaska	6174	7029	20.1883624982217	10	65.2	17.3	27657	59596
Valdez-Cordova Census Area	Alaska	10195	9636	13.2684723951847	6.9	71.8	17.6	30703	60383
Wade Hampton Census Area	Alaska	7028	7459	14.1126156321223	31.4	64.8	4.1	11269	37955
Wrangell City and Borough	Alaska	NA	2369	0	8.3	78.7	11.9	28731	50389
Yakutat City and Borough	Alaska	808	662	15.0966767371601	4.3	61.1	12.4	28576	65750
Yukon-Koyukuk Census Area	Alaska	6551	5588	28.1107730851825	23.6	69.1	2.9	18614	33712
