name	x	y
Barking & Dagenham	543522.5	184862.5
Barking & Dagenham	543577.6	184846.7
Barking & Dagenham	543577.1	184837.7
Barking & Dagenham	543595.5	184832.8
Barking & Dagenham	543601.7	184831.2
Barking & Dagenham	543608.1	184829.5
Barking & Dagenham	543611.6	184828.6
Barking & Dagenham	543614.4	184827.9
Barking & Dagenham	543619.8	184826.1
Barking & Dagenham	543664.4	184811.9
Barking & Dagenham	543699.6	184799.4
Barking & Dagenham	543712	184797
Barking & Dagenham	543717.8	184795.8
Barking & Dagenham	543754.4	184779.9
Barking & Dagenham	543765.1	184775.3
Barking & Dagenham	543767.3	184779.9
Barking & Dagenham	543768.4	184783.2
Barking & Dagenham	543774.8	184803
Barking & Dagenham	543777.5	184803.1
Barking & Dagenham	543796.3	184804
Barking & Dagenham	543827.3	184804.9
Barking & Dagenham	543827.6	184798.1
Barking & Dagenham	543844.5	184799.1
Barking & Dagenham	543851.9	184799.8
Barking & Dagenham	543863.8	184801
Barking & Dagenham	543863.1	184805.9
Barking & Dagenham	543869.9	184806.2
Barking & Dagenham	543878.7	184806.6
Barking & Dagenham	543904.1	184805.9
Barking & Dagenham	543934.4	184810.1
Barking & Dagenham	543949.4	184812.4
Barking & Dagenham	543980.4	184818.3
Barking & Dagenham	544024	184832.3
Barking & Dagenham	544041.9	184846.6
Barking & Dagenham	544069.6	184864.5
Barking & Dagenham	544097.3	184885.4
Barking & Dagenham	544103.2	184894.1
Barking & Dagenham	544105.4	184897.4
Barking & Dagenham	544109	184901
Barking & Dagenham	544110.3	184899.2
Barking & Dagenham	544126.3	184876.9
Barking & Dagenham	544150	184894
Barking & Dagenham	544156.2	184898.4
Barking & Dagenham	544156.6	184897.7
Barking & Dagenham	544166.4	184879.7
Barking & Dagenham	544177.9	184858.1
Barking & Dagenham	544188.1	184839.1
Barking & Dagenham	544198.9	184849.6
Barking & Dagenham	544199.9	184852.2
Barking & Dagenham	544202.2	184858.3
Barking & Dagenham	544209.6	184866.8
Barking & Dagenham	544223	184873.7
Barking & Dagenham	544230.6	184877
Barking & Dagenham	544246.8	184884.1
Barking & Dagenham	544303.4	184908.5
Barking & Dagenham	544338.3	184928.1
Barking & Dagenham	544382.9	184952.5
Barking & Dagenham	544411.4	184963.9
Barking & Dagenham	544414.1	184964.6
Barking & Dagenham	544426.6	184968
Barking & Dagenham	544433	184973.1
Barking & Dagenham	544433.5	184973.5
Barking & Dagenham	544438.7	184977.6
Barking & Dagenham	544439.7	184978.4
Barking & Dagenham	544445.4	184985.4
Barking & Dagenham	544447.4	184991.2
Barking & Dagenham	544440.7	185001.6
Barking & Dagenham	544438.3	185007.3
Barking & Dagenham	544439.3	185015
Barking & Dagenham	544442.7	185019.6
Barking & Dagenham	544444.8	185020.5
Barking & Dagenham	544446	185021
Barking & Dagenham	544452.5	185022.6
Barking & Dagenham	544462.7	185022.8
Barking & Dagenham	544477.3	185027.5
Barking & Dagenham	544488.7	185036.6
Barking & Dagenham	544500.1	185046.1
