Year	Gender	Time
1980	m	2.16139
1981	m	2.13694
1982	m	2.15806
1983	m	2.14972
1984	m	2.24806
1985	m	2.19278
1986	m	2.185
1987	m	2.18361
1988	m	2.13889
1989	m	2.13361
1990	m	2.21083
1991	m	2.15778
1992	m	2.15806
1993	m	2.16778
1994	m	2.18917
1995	m	2.18333
1996	m	2.165
1997	m	2.13667
1998	m	2.14583
1999	m	2.15389
1980	f	2.42833
1981	f	2.42472
1982	f	2.45389
1983	f	2.45
1984	f	2.49167
1985	f	2.47611
1986	f	2.46833
1987	f	2.50472
1988	f	2.46861
1989	f	2.425
1990	f	2.5125
1991	f	2.45889
1992	f	2.41111
1993	f	2.44
1994	f	2.46028
1995	f	2.46833
1996	f	2.47167
1997	f	2.47833
1998	f	2.42139
1999	f	2.41833
1970	m	2.52722
1971	m	2.38167
1972	m	2.46444
1973	m	2.365
1974	m	2.44167
1975	m	2.32417
1976	m	2.16944
1977	m	2.19111
1978	m	2.20333
1979	m	2.195
1971	f	2.92278
1972	f	3.14472
1973	f	2.95194
1974	f	3.12472
1975	f	2.77056
1976	f	2.65306
1977	f	2.71944
1978	f	2.54167
1979	f	2.45917
