name	team	position	G	AB	R	H	2B	3B	HR	RBI	TB	BB	SO	SB	CS	OBP	SLG	AVG
I Suzuki	SEA	OF	162	680	74	214	30	3	6	43	268	45	86	42	9	0.359	0.394	0.315
D Jeter	NYY	SS	157	663	111	179	30	3	10	67	245	63	106	18	5	0.34	0.37	0.27
M Young	TEX	3B	157	656	99	186	36	3	21	91	291	50	115	4	2	0.33	0.444	0.284
J Pierre	CWS	OF	160	651	96	179	18	3	1	47	206	45	47	68	18	0.341	0.316	0.275
R Weeks	MIL	2B	160	651	112	175	32	4	29	83	302	76	184	11	4	0.366	0.464	0.269
M Scutaro	BOS	SS	150	632	92	174	38	0	11	56	245	53	71	5	4	0.333	0.388	0.275
N Markakis	BAL	OF	160	629	79	187	45	3	12	60	274	73	93	7	2	0.37	0.436	0.297
D Span	MIN	OF	153	629	85	166	24	10	3	58	219	60	74	26	4	0.331	0.348	0.264
R Cano	NYY	2B	160	626	103	200	41	3	29	109	334	57	77	3	2	0.381	0.534	0.319
B Phillips	CIN	2B	155	626	100	172	33	5	18	59	269	46	83	16	12	0.332	0.43	0.275
R Braun	MIL	OF	157	619	101	188	45	1	25	103	310	56	105	14	3	0.365	0.501	0.304
A Jackson	DET	OF	151	618	103	181	34	10	4	41	247	47	170	27	6	0.345	0.4	0.293
H Kendrick	LAA	2B	158	616	67	172	41	4	10	75	251	28	94	14	4	0.313	0.407	0.279
H Pence	HOU	OF	156	614	93	173	29	3	25	91	283	41	105	18	9	0.325	0.461	0.282
C Headley	SD	3B	161	610	77	161	29	3	11	58	229	56	139	17	5	0.327	0.375	0.264
C McGehee	MIL	3B	157	610	70	174	38	1	23	104	283	50	102	1	1	0.337	0.464	0.285
M Cuddyer	MIN	1B	157	609	93	165	37	5	14	81	254	58	93	7	3	0.336	0.417	0.271
C Lee	HOU	OF	157	605	67	149	29	1	24	89	252	37	59	3	3	0.291	0.417	0.246
C Figgins	SEA	2B	161	602	62	156	21	2	1	35	184	74	114	42	15	0.34	0.306	0.259
M Kemp	LAD	OF	162	602	82	150	25	6	28	89	271	53	170	19	15	0.31	0.45	0.249
M Teixeira	NYY	1B	158	601	113	154	36	0	33	108	289	93	122	0	1	0.365	0.481	0.256
C Crawford	TB	OF	154	600	110	184	30	13	19	90	297	46	104	47	10	0.356	0.495	0.307
M Prado	ATL	2B	140	599	100	184	40	3	15	66	275	40	86	5	3	0.35	0.459	0.307
M Holliday	STL	OF	158	596	95	186	45	1	28	103	317	69	93	9	5	0.39	0.532	0.312
B Butler	KC	1B	158	595	77	189	45	0	15	78	279	69	78	0	0	0.388	0.469	0.318
V Guerrero	TEX	DH	152	593	83	178	27	1	29	115	294	35	60	4	5	0.345	0.496	0.3
J Lopez	SEA	3B	150	593	49	142	29	0	10	58	201	23	66	3	2	0.27	0.339	0.239
G Jones	PIT	1B	158	592	64	146	34	1	21	86	245	53	123	7	3	0.306	0.414	0.247
A Gonzalez	SD	1B	160	591	87	176	33	0	31	101	302	93	114	0	0	0.393	0.511	0.298
V Wells	TOR	OF	157	590	79	161	44	3	31	88	304	50	84	6	4	0.331	0.515	0.273
A Beltre	BOS	3B	154	589	84	189	49	2	28	102	326	40	82	2	1	0.365	0.553	0.321
D Uggla	FLA	2B	159	589	100	169	31	0	33	105	299	78	149	4	1	0.369	0.508	0.287
E Andrus	TEX	SS	148	588	88	156	15	3	0	35	177	64	96	32	15	0.342	0.301	0.265
J Loney	LAD	1B	161	588	67	157	41	2	10	88	232	52	95	10	5	0.329	0.395	0.267
C Gonzalez	COL	OF	145	587	111	197	34	9	34	117	351	40	135	26	8	0.376	0.598	0.336
A Pujols	STL	1B	159	587	115	183	39	1	42	118	350	103	76	14	4	0.414	0.596	0.312
S Victorino	PHI	OF	147	587	84	152	26	10	18	69	252	53	79	34	6	0.327	0.429	0.259
D Wright	NYM	3B	157	587	87	166	36	3	29	103	295	69	161	19	11	0.354	0.503	0.283
R Theriot	LAD	2B	150	586	72	158	15	2	2	29	183	41	74	20	9	0.321	0.312	0.27
K Johnson	ARI	2B	154	585	93	166	36	5	26	71	290	79	148	13	7	0.37	0.496	0.284
A Ramirez	CWS	SS	156	585	83	165	29	2	18	70	252	27	82	13	8	0.313	0.431	0.282
C Young	ARI	OF	156	584	94	150	33	0	27	91	264	74	145	28	7	0.341	0.452	0.257
A Jones	BAL	OF	149	581	76	165	25	5	19	69	257	23	119	7	7	0.325	0.442	0.284
T Wigginton	BAL	1B	154	581	63	144	29	1	22	76	241	50	116	0	1	0.312	0.415	0.248
M Byrd	CHC	OF	152	580	84	170	39	2	12	66	249	31	98	5	1	0.346	0.429	0.293
A Pagan	NYM	OF	151	579	80	168	31	7	11	69	246	44	97	37	9	0.34	0.425	0.29
P Fielder	MIL	1B	161	578	94	151	25	0	32	83	272	114	138	1	0	0.401	0.471	0.261
E Longoria	TB	3B	151	574	96	169	46	5	22	104	291	72	124	15	5	0.372	0.507	0.294
B Abreu	LAA	OF	154	573	88	146	41	1	20	78	249	87	132	24	10	0.352	0.435	0.255
T Hunter	LAA	OF	152	573	76	161	36	0	23	90	266	61	106	9	12	0.354	0.464	0.281
G Sanchez	FLA	1B	151	572	72	156	37	3	19	85	256	57	101	5	0	0.341	0.448	0.273
A McCutchen	PIT	OF	154	570	94	163	35	5	16	56	256	70	89	33	10	0.365	0.449	0.286
D Young	MIN	OF	153	570	77	170	46	1	21	112	281	28	81	5	4	0.333	0.493	0.298
J Bautista	TOR	OF	161	569	109	148	35	3	54	124	351	100	116	9	2	0.378	0.617	0.26
A Huff	SF	1B	157	569	100	165	35	5	26	86	288	83	91	7	0	0.385	0.506	0.29
A Lind	TOR	DH	150	569	57	135	32	3	23	72	242	38	144	0	0	0.287	0.425	0.237
F Gutierrez	SEA	OF	152	568	61	139	25	3	12	64	206	50	137	25	3	0.303	0.363	0.245
A Rios	CWS	OF	147	567	89	161	29	3	21	88	259	38	93	34	14	0.334	0.457	0.284
N Swisher	NYY	OF	150	566	91	163	33	3	29	89	289	58	139	1	2	0.359	0.511	0.288
S Drew	ARI	SS	151	565	83	157	33	12	15	61	259	62	108	10	5	0.352	0.458	0.278
J Reyes	NYM	SS	133	563	83	159	29	10	11	54	241	31	63	30	10	0.321	0.428	0.282
P Sandoval	SF	3B	152	563	61	151	34	3	13	63	230	47	81	3	2	0.323	0.409	0.268
A Callaspo	LAA	3B	146	562	61	149	27	2	10	56	210	31	42	5	3	0.302	0.374	0.265
R Ibanez	PHI	OF	155	561	75	154	37	5	16	83	249	68	108	4	3	0.349	0.444	0.275
A LaRoche	ARI	1B	151	560	75	146	37	2	25	100	262	48	172	0	1	0.32	0.468	0.261
A Dunn	WSH	1B	158	558	85	145	36	2	38	103	299	77	199	0	1	0.356	0.536	0.26
C Hart	MIL	OF	145	558	91	158	34	4	31	102	293	45	140	7	6	0.34	0.525	0.283
D Barton	OAK	1B	159	556	79	152	33	5	10	57	225	110	102	7	3	0.393	0.405	0.273
Y Betancourt	KC	SS	151	556	60	144	29	2	16	78	225	23	64	2	3	0.288	0.405	0.259
P Polanco	PHI	3B	132	554	76	165	27	2	6	52	214	32	47	5	0	0.339	0.386	0.298
J Werth	PHI	OF	156	554	106	164	46	2	27	85	295	82	147	13	3	0.388	0.532	0.296
K Kouzmanoff	OAK	3B	143	551	59	136	32	1	16	71	218	24	96	2	1	0.283	0.396	0.247
J Peralta	DET	SS	148	551	60	137	30	2	15	81	216	53	103	1	0	0.311	0.392	0.249
S Choo	CLE	OF	144	550	81	165	31	2	22	90	266	83	118	22	7	0.401	0.484	0.3
R Howard	PHI	1B	143	550	87	152	23	5	31	108	278	59	157	1	1	0.353	0.505	0.276
M Cabrera	DET	1B	150	548	111	180	45	1	38	126	341	89	95	3	3	0.42	0.622	0.328
P Konerko	CWS	1B	149	548	89	171	30	1	39	111	320	72	110	0	1	0.393	0.584	0.312
D Lee	ATL	1B	148	547	80	142	35	0	19	80	234	73	134	1	3	0.347	0.428	0.26
J Votto	CIN	1B	150	547	106	177	36	2	37	113	328	91	125	16	5	0.424	0.6	0.324
H Ramirez	FLA	SS	142	543	92	163	28	2	21	76	258	64	93	32	10	0.378	0.475	0.3
B Zobrist	TB	OF	151	541	77	129	28	2	10	75	191	92	107	24	3	0.346	0.353	0.238
J Damon	DET	DH	145	539	81	146	36	5	8	51	216	69	90	11	1	0.355	0.401	0.271
B Upton	TB	OF	154	536	89	127	38	4	18	62	227	67	164	42	9	0.322	0.424	0.237
M Bourn	HOU	OF	141	535	84	142	25	6	2	38	185	59	109	52	12	0.341	0.346	0.265
E Aybar	LAA	SS	138	534	69	135	18	4	5	29	176	35	81	22	8	0.306	0.33	0.253
L Overbay	TOR	1B	154	534	75	130	37	2	20	67	231	67	131	1	0	0.329	0.433	0.243
A Hill	TOR	2B	138	528	70	108	22	0	26	68	208	41	85	2	2	0.271	0.394	0.205
R Davis	OAK	OF	143	525	66	149	28	3	5	52	198	26	78	50	11	0.32	0.377	0.284
I Desmond	WSH	SS	154	525	59	141	27	4	10	65	206	28	109	17	5	0.308	0.392	0.269
C Ross	SF	OF	153	525	71	141	28	3	14	65	217	37	121	9	2	0.322	0.413	0.269
R Zimmerman	WSH	3B	142	525	85	161	32	0	25	85	268	69	98	4	1	0.388	0.51	0.307
I Davis	NYM	1B	147	523	73	138	33	1	19	71	230	72	138	3	2	0.351	0.44	0.264
A Rodriguez	NYY	3B	137	522	74	141	29	2	30	125	264	59	98	4	3	0.341	0.506	0.27
