name	party	state	money_pro	money_con	years	stance	chamber
Ackerman, Gary	 D	NY	13350	14800	30	unknown	house
Adams, Sandra	 R	FL	3500	5650	2	unknown	house
Aderholt, Robert	 R	AL	4779	23944	16	unknown	house
Akin, Todd	 R	MO	2500	8200	12	no	house
Alexander, Rodney	 R	LA	3500	2700	10	no	house
Altmire, Jason	 D	PA	24250	10650	6	unknown	house
Amash, Justin	 R	MI	6750	1700	2	no	house
Amodei, Mark	 R	NV	NA	NA	2	yes	house
Andrews, Robert	 D	NJ	9000	6400	24	no	house
Austria, Steve	 R	OH	4500	36474	4	unknown	house
Baca, Joe	 D	CA	12500	3800	14	yes	house
Bachmann, Michele	 R	MN	35690	37900	6	no	house
Bachus, Spencer	 R	AL	9500	6750	20	no	house
Baldwin, Tammy	 D	WI	25400	11600	14	leaning no	house
Barletta, Lou	 R	PA	4200	8450	2	unknown	house
Barrow, John	 D	GA	55550	10300	8	yes	house
Bartlett, Roscoe	 R	MD	750	2400	20	unknown	house
Barton, Joe	 R	TX	58500	27150	28	unknown	house
Bass, Charles	 R	NH	36300	11250	2	leaning no	house
Bass, Karen	 D	CA	52400	16800	2	yes	house
Becerra, Xavier	 D	CA	90944	28200	20	unknown	house
Benishek, Dan	 R	MI	5620	7550	2	no	house
Berg, Rick	 R	ND	7300	12800	2	unknown	house
Berkley, Shelley	 D	NV	11211	7300	14	unknown	house
Berman, Howard	 D	CA	286400	73539	30	yes	house
Biggert, Judy	 R	IL	12750	7500	14	no	house
Bilbray, Brian	 R	CA	16000	30000	8	unknown	house
Bilirakis, Gus	 R	FL	13050	2000	8	unknown	house
Bishop, Timothy	 D	NY	36200	21450	10	leaning no	house
Bishop, Rob	 R	UT	950	11400	10	leaning no	house
Bishop Jr., Sanford	 D	GA	9150	17000	20	unknown	house
Black, Diane	 R	TN	9750	NA	2	unknown	house
Blackburn, Marsha	 R	TN	85750	16750	10	yes	house
Blumenauer, Earl	 D	OR	6750	25850	18	no	house
Boehner, John	 R	OH	109600	72920	2	unknown	house
Bonner, Jo	 R	AL	3750	15600	10	unknown	house
Bono Mack, Mary	 R	CA	173890	30926	16	yes	house
Boren, Dan	 D	OK	5400	6300	8	unknown	house
Boswell, Leonard	 D	IA	16100	NA	16	unknown	house
Boustany Jr., Charles	 R	LA	7500	13350	8	unknown	house
Brady, Kevin	 R	TX	15000	19000	16	unknown	house
Brady, Robert	 D	PA	36400	3000	16	unknown	house
Braley, Bruce	 D	IA	28200	16000	6	no	house
Brooks, Mo	 R	AL	1000	23150	2	unknown	house
Broun, Paul	 R	GA	9629	2000	6	no	house
Brown, Corrine	 D	FL	2500	13200	20	unknown	house
Buchanan, Vern	 R	FL	34300	42050	6	unknown	house
Bucshon, Larry	 R	IN	1700	3250	2	unknown	house
Buerkle, Ann Marie	 R	NY	2900	900	2	unknown	house
Burgess, Michael	 R	TX	20000	15500	10	unknown	house
Burton, Dan	 R	IN	1250	NA	30	unknown	house
Butterfield, G.	 D	NC	21000	2000	10	unknown	house
Calvert, Ken	 R	CA	24000	15400	20	unknown	house
Camp, Dave	 R	MI	31000	62350	22	unknown	house
Campbell, John	 R	CA	6000	32700	8	no	house
Canseco, Francisco	 R	TX	4900	500	2	unknown	house
Cantor, Eric	 R	VA	103700	122650	12	unknown	house
Capito, Shelley	 R	WV	12000	10800	12	unknown	house
Capps, Lois	 D	CA	37350	7950	16	unknown	house
Capuano, Michael	 D	MA	20750	26600	14	leaning no	house
Cardoza, Dennis	 D	CA	15250	3500	10	unknown	house
Carnahan, Russ	 D	MO	21800	12500	8	unknown	house
Carney, John	 D	DE	14300	1750	2	unknown	house
Carson, Andre	 D	IN	6000	1400	6	no	house
Carter, John	 R	TX	12000	33000	10	no	house
Cassidy, Bill	 R	LA	17000	3400	4	unknown	house
Castor, Kathy	 D	FL	20750	8500	6	unknown	house
Chabot, Steven	 R	OH	10800	27100	2	yes	house
Chaffetz, Jason	 R	UT	12000	23407	4	no	house
Chandler, Ben	 D	KY	9000	8250	10	unknown	house
Chu, Judy	 D	CA	47300	8500	6	yes	house
Cicilline, David	 D	RI	45850	6850	2	unknown	house
Clarke, Yvette	 D	NY	9550	22250	6	no	house
Clarke, Hansen	 D	MI	1000	1750	2	unknown	house
Clay, William	 D	MO	7000	9300	12	unknown	house
Cleaver II, Emanuel	 D	MO	3000	3650	8	unknown	house
Clyburn, James	 D	SC	86600	62593	20	unknown	house
Coble, Howard	 R	NC	29250	10000	28	unknown	house
Coffman, Mike	 R	CO	24670	6300	4	no	house
Cohen, Steve	 D	TN	28000	23450	6	unknown	house
Cole, Tom	 R	OK	3000	8354	10	unknown	house
Conaway, K.	 R	TX	16500	NA	8	unknown	house
Connolly, Gerald	 D	VA	26334	96683	4	no	house
Conyers Jr., John	 D	MI	84591	73983	48	yes	house
Cooper, Jim	 D	TN	11050	8000	10	yes	house
Costa, Jim	 D	CA	13800	3400	8	unknown	house
Costello, Jerry	 D	IL	2000	NA	26	unknown	house
Courtney, Joe	 D	CT	14900	1250	6	no	house
Cravaack, Chip	 R	MN	1500	500	2	no	house
Crawford, Rick	 R	AR	2500	4650	2	leaning no	house
Crenshaw, Ander	 R	FL	5000	15350	12	unknown	house
Critz, Mark	 D	PA	23200	61800	4	unknown	house
Crowley, Joseph	 D	NY	44300	31449	14	unknown	house
Cuellar, Henry	 D	TX	12400	3000	8	leaning no	house
Culberson, John	 R	TX	5000	7000	12	no	house
Cummings, Elijah	 D	MD	4250	5500	18	unknown	house
Davis, Danny	 D	IL	1000	3500	16	unknown	house
Davis, Susan	 D	CA	2400	13700	12	unknown	house
Davis, Geoff	 R	KY	13400	11800	8	unknown	house
DeFazio, Peter	 D	OR	1000	2786	26	no	house
DeGette, Diana	 D	CO	39600	1250	16	leaning no	house
DeLauro, Rosa	 D	CT	13150	5250	22	no	house
Denham, Jeffrey	 R	CA	4100	4250	2	unknown	house
Dent, Charlie	 R	PA	35050	13400	8	leaning no	house
DesJarlais, Scott	 R	TN	5000	NA	2	no	house
Deutch, Ted	 D	FL	12500	13900	4	yes	house
Diaz-Balart, Mario	 R	FL	15250	2000	10	unknown	house
Dicks, Norman	 D	WA	2000	49700	36	no	house
Dingell, John	 D	MI	94500	14000	58	unknown	house
Doggett, Lloyd	 D	TX	13900	22050	18	no	house
Dold, Robert	 R	IL	11800	14700	2	leaning no	house
Donnelly, Joe	 D	IN	7800	1900	6	unknown	house
Doyle, Mike	 D	PA	26000	8500	18	no	house
