site	pop	sex	age	headL	skullW	totalL	tailL
1	Vic	m	8	94.1	60.4	89	36
1	Vic	f	6	92.5	57.6	91.5	36.5
1	Vic	f	6	94	60	95.5	39
1	Vic	f	6	93.2	57.1	92	38
1	Vic	f	2	91.5	56.3	85.5	36
1	Vic	f	1	93.1	54.8	90.5	35.5
1	Vic	m	2	95.3	58.2	89.5	36
1	Vic	f	6	94.8	57.6	91	37
1	Vic	f	9	93.4	56.3	91.5	37
1	Vic	f	6	91.8	58	89.5	37.5
1	Vic	f	9	93.3	57.2	89.5	39
1	Vic	f	5	94.9	55.6	92	35.5
1	Vic	m	5	95.1	59.9	89.5	36
1	Vic	m	3	95.4	57.6	91.5	36
1	Vic	m	5	92.9	57.6	85.5	34
1	Vic	m	4	91.6	56	86	34.5
1	Vic	f	1	94.7	67.7	89.5	36.5
1	Vic	m	2	93.5	55.7	90	36
1	Vic	f	5	94.4	55.4	90.5	35
1	Vic	f	4	94.8	56.3	89	38
1	Vic	f	3	95.9	58.1	96.5	39.5
1	Vic	m	3	96.3	58.5	91	39.5
1	Vic	f	4	92.5	56.1	89	36
1	Vic	m	2	94.4	54.9	84	34
1	Vic	m	3	95.8	58.5	91.5	35.5
1	Vic	m	7	96	59	90	36
1	Vic	f	2	90.5	54.5	85	35
1	Vic	m	4	93.8	56.8	87	34.5
1	Vic	f	3	92.8	56	88	35
1	Vic	f	2	92.1	54.4	84	33.5
1	Vic	m	3	92.8	54.1	93	37
1	Vic	f	4	94.3	56.7	94	39
1	Vic	m	3	91.4	54.6	89	37
2	Vic	m	2	90.6	55.7	85.5	36.5
2	Vic	m	4	94.4	57.9	85	35.5
2	Vic	m	7	93.3	59.3	88	35
2	Vic	f	2	89.3	54.8	82.5	35
2	Vic	m	7	92.4	56	80.5	35.5
2	Vic	f	1	84.7	51.5	75	34
2	Vic	f	3	91	55	84.5	36
2	Vic	f	5	88.4	57	83	36.5
2	Vic	m	3	85.3	54.1	77	32
2	Vic	f	2	90	55.5	81	32
2	Vic	m	NA	85.1	51.5	76	35.5
2	Vic	m	3	90.7	55.9	81	34
2	Vic	m	NA	91.4	54.4	84	35
3	other	m	2	90.1	54.8	89	37.5
3	other	m	5	98.6	63.2	85	34
3	other	m	4	95.4	59.2	85	37
3	other	f	5	91.6	56.4	88	38
3	other	f	5	95.6	59.6	85	36
3	other	m	6	97.6	61	93.5	40
3	other	f	3	93.1	58.1	91	38
4	other	m	7	96.9	63	91.5	43
4	other	m	2	103.1	63.2	92.5	38
4	other	m	3	99.9	61.5	93.7	38
4	other	f	4	95.1	59.4	93	41
4	other	m	3	94.5	64.2	91	39
4	other	m	2	102.5	62.8	96	40
4	other	f	2	91.3	57.7	88	39
5	other	m	7	95.7	59	86	38
5	other	f	3	91.3	58	90.5	39
5	other	f	6	92	56.4	88.5	38
5	other	f	3	96.9	56.5	89.5	38.5
5	other	f	5	93.5	57.4	88.5	38
5	other	f	3	90.4	55.8	86	36.5
5	other	m	4	93.3	57.6	85	36.5
5	other	m	5	94.1	56	88.5	38
5	other	m	5	98	55.6	88	37.5
5	other	f	7	91.9	56.4	87	38
5	other	m	6	92.8	57.6	90	40
5	other	m	1	85.9	52.4	80.5	35
5	other	m	1	82.5	52.3	82	36.5
6	other	f	4	88.7	52	83	38
6	other	m	6	93.8	58.1	89	38
6	other	m	5	92.4	56.8	89	41
6	other	m	6	93.6	56.2	84	36
6	other	m	1	86.5	51	81	36.5
6	other	m	1	85.8	50	81	36.5
6	other	m	1	86.7	52.6	84	38
6	other	m	3	90.6	56	85.5	38
6	other	f	4	86	54	82	36.5
6	other	f	3	90	53.8	81.5	36
6	other	m	3	88.4	54.6	80.5	36
6	other	m	3	89.5	56.2	92	40.5
6	other	f	3	88.2	53.2	86.5	38.5
7	other	m	2	98.5	60.7	93	41.5
7	other	f	2	89.6	58	87.5	38
7	other	m	6	97.7	58.4	84.5	35
7	other	m	3	92.6	54.6	85	38.5
7	other	m	3	97.8	59.6	89	38
7	other	m	2	90.7	56.3	85	37
7	other	m	3	89.2	54	82	38
7	other	m	7	91.8	57.6	84	35.5
7	other	m	4	91.6	56.6	88.5	37.5
7	other	m	4	94.8	55.7	83	38
7	other	m	3	91	53.1	86	38
7	other	m	5	93.2	68.6	84	35
7	other	f	3	93.3	56.2	86.5	38.5
7	other	m	1	89.5	56	81.5	36.5
7	other	m	1	88.6	54.7	82.5	39
7	other	f	6	92.4	55	89	38
7	other	m	4	91.5	55.2	82.5	36.5
7	other	f	3	93.6	59.9	89	40
