state	stateFull	nObama	pObama	nMcCain	pMcCain	elVotes
AL	Alabama	811764	38.8	1264879	60.4	9
AK	Alaska	105650	37.7	168844	60.2	3
AZ	Arizona	948648	45	1132560	53.8	10
AR	Arkansas	418049	38.8	632672	58.8	6
CA	California	7245731	60.9	4434146	37.3	55
CO	Colorado	1216793	53.5	1020135	44.9	9
CT	Connecticut	979316	60.5	620210	38.3	7
DE	Delaware	255394	61.9	152356	37	3
DC	District of Columbia	210403	92.9	14821	6.5	3
FL	Florida	4143957	50.9	3939380	48.4	27
GA	Georgia	1843452	47	2048244	52.2	15
HI	Hawaii	324918	71.8	120309	26.6	4
ID	Idaho	235219	36.1	400989	61.5	4
IL	Illinois	3319237	61.8	1981158	36.9	21
IN	Indiana	1367264	49.9	1341101	49	11
IA	Iowa	818240	54	677508	44.7	7
KS	Kansas	499979	41.4	685541	56.8	6
KY	Kentucky	746510	41.1	1043264	57.5	8
LA	Louisiana	780981	39.9	1147603	58.6	9
ME	Maine	421484	57.6	296195	40.5	4
MD	Maryland	1579890	61.9	938671	36.8	10
MA	Massachusetts	1891083	62	1104284	36.2	12
MI	Michigan	2867680	57.4	2044405	40.9	17
MN	Minnesota	1573323	54.2	1275400	44	10
MS	Mississippi	520864	42.8	687266	56.4	6
MO	Missouri	1439364	49.3	1444352	49.4	11
MT	Montana	229725	47.2	241816	49.7	3
NE	Nebraska	324352	41.5	446039	57	5
NV	Nevada	531884	55.1	411988	42.7	5
NH	New Hampshire	384591	54.3	316937	44.8	4
NJ	New Jersey	2085051	56.8	1545495	42.1	15
NM	New Mexico	464458	56.7	343820	42	5
NY	New York	4363386	62.2	2576360	36.7	31
NC	North Carolina	2123390	49.9	2109698	49.5	15
ND	North Dakota	141113	44.7	168523	53.3	3
OH	Ohio	2708685	51.2	2501855	47.2	20
OK	Oklahoma	502294	34.4	959745	65.6	7
OR	Oregon	978605	57.1	699673	40.8	7
PA	Pennsylvania	3192316	54.7	2586496	44.3	21
RI	Rhode Island	281209	63.1	157317	35.3	4
SC	South Carolina	850121	44.9	1018756	53.8	8
SD	South Dakota	170886	44.7	203019	53.2	3
TN	Tennessee	1081074	41.8	1470160	56.9	11
TX	Texas	3521164	43.8	4467748	55.5	34
UT	Utah	301771	34.2	555497	62.9	5
VT	Vermont	219105	67.8	98791	30.6	3
VA	Virginia	1958370	52.7	1726053	46.4	13
WA	Washington	1547632	57.5	1097176	40.5	11
WV	West Virginia	301438	42.6	394278	55.7	5
WI	Wisconsin	1670474	56.3	1258181	42.4	10
WY	Wyoming	80496	32.7	160639	65.2	3
