state	abbr	fips	pop2010	pop2000	homeownership	multiunit	income	med_income	poverty	fed_spend	land_area	smoke	murder	robbery	agg_assault	larceny	motor_theft	soc_sec	nuclear	coal	tr_deaths	tr_deaths_no_alc	unempl
Alabama	AL	1	4779736	4447100	71.1	15.5	22984	42081	17.1	11.7261340375284	50645.33	24.8	8.2	141.4	5.2	55.4	6	18.5	16.3	56.6	23.7	1.3	7.6
Alaska	AK	2	710231	626932	64.7	24.6	30726	66521	9.5	16.786568032091	570640.95	25	4.8	80.9	65.5	366	55.1	8.9	0	9.5	10.1	7.3	7.1
Arizona	AZ	4	6392017	5130632	67.4	20.7	25680	50448	15.3	9.84712759681334	113594.08	20.4	7.5	144.4	5.1	46.4	14.5	13.9	15.6	39.6	18.4	0.9	8.7
Arkansas	AR	5	2915918	2673400	67.7	15.2	21274	39267	18	9.61118556831845	52035.48	23.5	6.7	91.1	13.3	93	9	18.7	13	48.2	22.2	2.2	7.6
California	CA	6	37253956	33871648	57.4	30.7	29188	60883	13.7	8.88579105531772	155779.22	15.2	6.9	176.1	0.9	5.1	1.9	11.8	7	1.1	11.6	0.2	10.9
Colorado	CO	8	5029196	4301261	67.6	25.6	30151	56456	12.2	9.15229452182814	103641.89	19.9	3.7	84.6	5.3	54.4	11.1	11.4	0	71.7	12	1.2	7.8
Connecticut	CT	9	3574097	3405565	69.2	34.6	36775	67740	9.2	14.8344720358737	4842.36	16.5	2.9	113	3.9	51	8.3	16.3	25.6	11.9	7.7	1.6	7.8
Delaware	DE	10	897934	783600	73.6	17.7	29007	57599	11	8.88953865206129	1948.54	20.7	4.4	154.8	47.7	238.8	31	16.6	0	59.4	14.9	5.7	7
District of Columbia	DC	11	601723	572059	43.5	61.7	42078	58526	18.5	100.909066131758	61.05	20.1	35.4	672.1	119.9	447.9	233	12	0	0	8	7.5	9.9
Florida	FL	12	18801310	15982378	69.7	30	26551	47661	13.8	9.62100146213216	53624.76	21.6	5	169.4	2.6	14.1	2.3	18	7.3	28.4	18.8	0.3	9.4
Georgia	GA	13	9687653	8186453	67.2	20.5	25134	49347	15.7	8.88224464687164	57513.49	22.2	6.2	154.8	2.7	28.4	5.1	12.3	11.1	63.8	17.8	0.7	9.1
Hawaii	HI	15	1360301	1211537	59.3	39.2	28882	66420	9.6	13.9567676565701	6422.63	17.1	1.9	78.5	10.9	243.2	52.7	14.6	0	14.2	10.3	3.6	6.4
Idaho	ID	16	1567582	1293953	71	14.9	22518	46423	13.6	8.82443789224423	82643.12	17.9	2.4	18.6	12.5	123.2	12.9	14	0	0.9	17.5	4.3	8
Illinois	IL	17	12830632	12419293	69.2	33	28782	55735	12.6	8.51701225629416	55518.93	19.9	6	181.7	2.6	16.9	2.4	14.7	26.8	47.5	10.6	0.4	9.1
Indiana	IN	18	6483802	6080485	71.5	18.6	24058	47697	13.5	9.44977360505457	35826.11	27.3	5.7	108.6	2.8	37.2	5.3	16	0	94.2	14.5	1	8.4
Iowa	IA	19	3046355	2926324	73.2	18.6	25335	48872	11.6	9.50267614903713	55857.13	20.4	1.3	38.9	7.3	67.1	6.1	17.9	5.2	77.6	14.8	2.4	5.3
Kansas	KS	20	2853118	2688418	69.4	17.4	25907	49424	12.4	10.3647045092422	81758.72	17.8	NA	NA	NA	NA	NA	15.7	10.6	75.2	15	2.3	6.1
