year	unemp	usData
1890	3.97	0
1891	4.77	0
1892	3.72	0
1893	8.09	0
1894	12.33	0
1895	11.11	0
1896	11.96	0
1897	12.43	0
1898	11.62	0
1899	8.66	0
1900	5	0
1901	4.59	0
1902	4.3	0
1903	4.35	0
1904	5.08	0
1905	4.62	0
1906	3.29	0
1907	3.57	0
1908	6.17	0
1909	5.13	0
1910	5.86	0
1911	6.27	0
1912	5.25	0
1913	4.93	0
1914	6.63	0
1915	7.18	0
1916	5.63	0
1917	5.23	0
1918	3.38	0
1919	2.95	0
1920	5.16	0
1921	8.73	0
1922	6.93	0
1923	4.8	0
1924	5.8	0
1925	4.92	0
1926	4.02	0
1927	4.57	0
1928	5.02	0
1929	4.61	0
1930	8.94	0
1931	13	0
1932	18.8	0
1933	19.8	0
1934	21.3	0
1935	19.5	0
1936	16.6	0
1937	14.1	0
1938	17.8	0
1939	16	0
1940	14.6	1
1941	9.9	1
1942	4.7	1
1943	1.9	1
1944	1.2	1
1945	1.9	1
1946	3.9	1
1947	3.9	1
1948	3.8	1
1949	5.9	1
1950	5.3	1
1951	3.3	1
1952	3	1
1953	2.9	1
1954	5.5	1
1955	4.4	1
1956	4.1	1
1957	4.3	1
1958	6.8	1
1959	5.5	1
1960	5.5	1
1961	6.7	1
1962	5.5	1
1963	5.7	1
1964	5.2	1
1965	4.5	1
1966	3.8	1
1967	3.8	1
1968	3.6	1
1969	3.5	1
1970	4.9	1
1971	5.9	1
1972	5.6	1
1973	4.9	1
1974	5.6	1
1975	8.5	1
1976	7.7	1
1977	7.1	1
1978	6.1	1
1979	5.8	1
1980	7.1	1
1981	7.6	1
1982	9.7	1
1983	9.6	1
1984	7.5	1
1985	7.2	1
1986	7	1
1987	6.2	1
1988	5.5	1
1989	5.3	1
1990	5.6	1
1991	6.8	1
1992	7.5	1
1993	6.9	1
1994	6.1	1
1995	5.6	1
1996	5.4	1
1997	4.9	1
1998	4.5	1
1999	4.2	1
2000	4	1
2001	4.7	1
2002	5.8	1
2003	6	1
2004	5.5	1
2005	5.1	1
2006	4.6	1
2007	4.6	1
2008	5.8	1
2009	9.3	1
2010	9.7	1
